id,release,priority,title,depends_on,primary_files,objective,acceptance
CLOSURE-001,0.2.0,P0,Introduce candidate-consistent EvaluationWorkspace,,src/lpe/workspace/*; src/lpe/evidence/compiler.py,"Keep immutable base and candidate snapshots alive through build, extraction, every provider, packet assembly, and artifact persistence.",Dirty operator checkout has no effect; head-only fixture is evaluated; cleanup occurs after packet persistence; snapshot hashes are stable.
CLOSURE-002,0.2.0,P0,Pass ProviderContext to all evidence providers,CLOSURE-001,src/lpe/providers/base.py; src/lpe/providers/semantic.py,"Remove project_path-based provider execution and require workspace, executor, snapshot, extraction, deadline, and artifact store context.",No provider reads the original checkout; every result records the candidate snapshot fingerprint; timeout/failure is explicit.
CLOSURE-003,0.2.0,P0,Eliminate direct host Lake execution in semantic providers,CLOSURE-002,src/lpe/providers/semantic.py; src/lpe/execution/*,"Route examples, counterexamples, and downstream tests through the selected executor and sandbox policy.",Static test forbids subprocess.run in providers; Docker-selected runs invoke no host Lake; network and env policies are preserved.
CLOSURE-004,0.2.0,P0,Harden Docker sandbox and pin image identity,CLOSURE-001,src/lpe/execution/sandbox.py; docker/lpe-lean/*,"Use read-only root/source, non-root user, ephemeral writable mounts, CPU/storage limits, and image digest provenance.",Sandbox tests assert every hardening flag; source checkout remains unchanged; unresolved image digest blocks automatic acceptance.
CLOSURE-005,0.2.0,P0,Remove duplicate sandbox isolation implementation,,src/lpe/execution/sandbox.py,Retain one isolation_status_for_executor implementation and prevent future duplicate definitions.,One definition remains; lint/test detects duplicate top-level function names.
CLOSURE-006,0.2.0,P0,Implement generic injected Lean extractor,"CLOSURE-001,CLOSURE-004",lean/LpeExtract/*; src/lpe/lean/generic.py,Extract arbitrary supported Lake projects without target-defined lpe_extract targets or committed extraction JSON.,"Works on fixture, independent small project, medium project, Mathlib-backed downstream project, and bounded 10k-declaration module set."
CLOSURE-007,0.2.0,P0,Define Lean extraction protocol v2,CLOSURE-006,src/lpe/lean/models.py; schemas/lean-extraction-v2.schema.json,"Record FQNs, kinds, modules, source positions, visibility, type/value hashes, axioms, edges, and dimension-specific completeness.",Schema validates all compatibility fixtures; unsupported/missing dimensions are explicit; no global completeness ambiguity.
CLOSURE-008,0.2.0,P0,Extract paired base and candidate snapshots,"CLOSURE-006,CLOSURE-007",src/lpe/lean/extract_pair.py; src/lpe/workspace/manager.py,Produce independently fingerprinted base and head extraction artifacts in one run.,Base/head artifacts are immutable; changed toolchain or tree invalidates reuse; stale artifacts are refused.
CLOSURE-009,0.2.0,P0,Implement elaborated declaration diff,CLOSURE-008,src/lpe/lean/declaration_diff.py; src/lpe/evidence/risk.py,"Classify added, removed, type-changed, body-only, visibility, attribute, axiom, dependency, and import changes.","Multiline declarations, namespaces, FQNs, removals, and proof-only changes classify correctly; lexical fallback never auto-accepts."
CLOSURE-010,0.2.0,P0,Introduce evidence basis and coverage model,"CLOSURE-002,CLOSURE-007",src/lpe/models.py; schemas/evidence-packet.schema.json,"Attach discrete basis, declared-scope coverage, subject references, and typed payloads to every finding.",PASS cannot satisfy a stronger required basis; incomplete coverage cannot silently pass; historical packet migration is tested.
CLOSURE-011,0.2.0,P0,Make evidence packet identity fully reproducible,"CLOSURE-001,CLOSURE-010",src/lpe/evidence/compiler.py; src/lpe/hashing.py,"Hash run manifest, provider versions, executor/image/toolchain, policy, canonical findings, and artifacts.",Identical inputs yield identical fingerprint; provider/image/policy changes alter it; random IDs/timestamps do not affect it.
CLOSURE-012,0.2.0,P0,Move logs to content-addressed artifact store,CLOSURE-001,src/lpe/workspace/artifacts.py; src/lpe/reporting/*,"Keep packets bounded and preserve redacted, hash-addressed logs and extraction outputs.",Packet stays below 1 MiB excluding refs; digest verification works; secrets are redacted before storage.
CLOSURE-013,0.2.0,P1,Replace semantic fixture heuristics with manifests,"CLOSURE-002,CLOSURE-003",src/lpe/providers/semantic.py; schemas/fixture-suite.schema.json,"Require obligation binding, expected exit/diagnostics, snapshot target, timeout, and semantic interpretation.",README-only and arbitrary nonempty YAML cannot PASS; unrelated Lean failure is UNKNOWN; expected result is checked exactly.
CLOSURE-014,0.2.0,P1,Implement paired downstream successor tests,"CLOSURE-002,CLOSURE-008,CLOSURE-013",src/lpe/providers/downstream.py,"Run declared successors on base and candidate and report enabled, regressed, and unchanged outcomes.",Candidate-only success and regression are distinguished; all runs share candidate workspace/executor provenance.
CLOSURE-015,0.2.0,P1,Synthesize canonical API-fit and downstream findings,"CLOSURE-010,CLOSURE-014",src/lpe/evidence/synthesis.py; src/lpe/evidence/gates.py,Derive canonical checks from provider evidence and remove contradictory generic UNKNOWN findings.,Synthesis policy is versioned; complete provider evidence deterministically changes canonical status; conflicts remain explicit.
CLOSURE-016,0.2.0,P0,Release schema 0.2.0 and migration,"CLOSURE-007,CLOSURE-010,CLOSURE-011",src/lpe/models.py; src/lpe/contract/migration.py; schemas/*,"Version candidate, packet, finding, provenance, and extraction schemas with read support for 0.1.0.",Golden 0.1 records migrate; unknown data remains unresolved rather than inferred; schema drift CI passes.
CLOSURE-017,0.2.0,P0,Expand CI and release validation,CLOSURE-016,.github/workflows/*; Makefile; pyproject.toml,"Add Python/OS matrix, Ruff, MyPy, coverage, package build/install, scheduled Lean/Docker/Mathlib, image scan, and live Check test.",Required matrix passes; scheduled jobs publish artifacts; test counts and manifests are generated; release wheel and image are reproducible.
CLOSURE-018,0.3.0,P0,Define typed utility event union v2,CLOSURE-016,src/lpe/ledger/events.py; schemas/utility-event-v2.schema.json,"Replace dict payloads with discriminated event types for freezes, candidates, evidence, reviews, acceptance, persistence, time, corrections, and protocol.",Every event validates against one payload type; anonymous/unknown fields fail; legacy unresolved records remain marked.
CLOSURE-019,0.3.0,P0,Implement artifact and obligation lifecycle reducers,CLOSURE-018,src/lpe/ledger/state.py; src/lpe/ledger/store.py,"Enforce valid transitions, immutable obligation freezes, repair lineage, integration, downstream, and persistence ordering.",Invalid transitions fail append; property tests cover arbitrary event sequences; corrections are deterministic.
CLOSURE-020,0.3.0,P0,Implement ledger 0.1 to 0.2 migration and resealing,"CLOSURE-018,CLOSURE-019",src/lpe/ledger/migration.py; src/lpe/ledger/seal.py,"Preserve source history, migrate typed records, flag ambiguity, verify both chains, and issue linked seals.",Migration is idempotent; no acceptance/persistence is invented; report accounts for every source event.
CLOSURE-021,0.3.0,P0,Implement dimension-specific review attestations,"CLOSURE-016,CLOSURE-018",src/lpe/review/models.py; src/lpe/review/decisions.py,"Record semantic, repository, implementation, downstream, and adjudication decisions separately.",One review cannot automatically attest multiple dimensions; fingerprint and conflict hash are mandatory.
CLOSURE-022,0.3.0,P0,Implement reviewer conflicts and eligibility,CLOSURE-021,src/lpe/review/conflicts.py; schemas/reviewer-conflict.schema.json,"Fail closed for authorship, historical review, direct collaboration, packet construction, prior outcome exposure, and declared conflicts.",Ineligible reviewer cannot receive or submit primary attestation; signed conflict hash is immutable.
CLOSURE-023,0.3.0,P0,Implement R1–R4 quorum and acceptance aggregation,"CLOSURE-019,CLOSURE-021,CLOSURE-022",src/lpe/review/quorum.py; src/lpe/review/acceptance.py,Allow human-controlled R3/R4 acceptance with distinct reviewers while preserving no-auto-accept.,R3 requires semantic+repository reviewers; R4 requires three roles; any reject blocks; aggregate event derives only from quorum.
CLOSURE-024,0.3.0,P0,Implement repair lineage and adjudication,CLOSURE-023,src/lpe/review/repair.py; src/lpe/review/adjudication.py,Create new candidate versions for repairs and independent provisional adjudication for disagreements.,Prior attestations do not transfer; adjudicator conflict rules enforced; lineage is auditable.
CLOSURE-025,0.3.0,P0,Implement TPPR v2 reducer and audit report,"CLOSURE-019,CLOSURE-023",src/lpe/metrics/tppr_v2.py; schemas/tppr-report-v2.schema.json,"Compute unique sustained credit, typed time, corrections, condition cohorts, missing-data bounds, and full numerator/denominator audit.",Property tests prevent duplicate/retroactive credit; persistence threshold enforced; report reconciles to ledger.
CLOSURE-026,0.3.0,P0,Implement machine-readable pilot protocol bundle,"CLOSURE-018,CLOSURE-025",src/lpe/pilot/protocol.py; schemas/pilot-protocol.schema.json,"Replace blank Markdown templates with required validated protocol, endpoint, roster, held-out, comprehension, analysis, and signature files.",Freeze refuses any missing field; protocol hashes all components; changes after freeze create a new version.
CLOSURE-027,0.3.0,P0,Implement deterministic blocked condition assignment,"CLOSURE-026,CLOSURE-022",src/lpe/pilot/assignment.py,"Use 2:2:1 balanced blocks, HMAC seed, risk/type strata, workload balance, and conflict exclusion.",Same frozen seed reproduces assignment; quotas hold; no ineligible reviewer is assigned; seed disclosure verifies assignments.
CLOSURE-028,0.3.0,P0,Implement reviewer calibration and comprehension,CLOSURE-026,src/lpe/pilot/comprehension.py,"Administer five external cases, score evidence-basis and root-cause comprehension, and enforce eligibility.",Pass/fail rules are deterministic; second failure excludes reviewer from primary analysis; results are sealed.
CLOSURE-029,0.3.0,P0,Implement pilot data lock,"CLOSURE-020,CLOSURE-026,CLOSURE-027,CLOSURE-028",src/lpe/pilot/lock.py,"Verify completeness, assignments, chain, off-host seal, hashes, exclusions, analysis image, and held-out set before lock.",Any mismatch blocks lock; locked bundle is content-addressed; post-lock corrections create a new analysis version.
